API_WELL_NUMBER,WELL_TYPE_CODE,WELL_NAME,COMPANY_NAME,BOREHOLE_STAT_DT,BH_TOTAL_MD
4.27094E+11,D, B002,Fieldwood Energy Offshore LLC,5/21/17,11107
1.77024E+11,D, A004,Fieldwood Energy Offshore LLC,1/10/00,15585
1.77192E+11,D, B018,Fieldwood Energy Offshore LLC,11/20/13,16395
1.77212E+11,E,10,Fieldwood Energy Offshore LLC,1/26/70,6421
1.77194E+11,D,4,Fieldwood Energy Offshore LLC,8/9/13,3500
1.77214E+11,D, D025,Fieldwood Energy Offshore LLC,12/27/98,11407
1.77054E+11,E,1,Fieldwood Energy Offshore LLC,3/2/99,15201
1.77214E+11,D, C014,Fieldwood Energy Offshore LLC,3/19/81,10117
1.77084E+11,D, C004,Fieldwood Energy Offshore LLC,8/31/98,7175
4.27114E+11,D, A016,Fieldwood Energy Offshore LLC,7/15/17,4820
1.77214E+11,D, G025,Fieldwood Energy Offshore LLC,6/27/00,5440
6.08114E+11,D,TA003,Fieldwood Energy Offshore LLC,8/31/17,17050
1.77124E+11,D, D005,Fieldwood Energy Offshore LLC,11/27/05,7210
1.77212E+11,D, C001,Fieldwood Energy Offshore LLC,6/14/99,12926
1.77194E+11,D, A010,Fieldwood Energy Offshore LLC,8/7/12,14600
4.27094E+11,D, A002,Fieldwood Energy Offshore LLC,3/3/96,13860
1.77192E+11,D, C026,Fieldwood Energy Offshore LLC,5/24/79,12940
1.7719E+11,D, A001,Fieldwood Energy Offshore LLC,3/19/10,15216
1.77024E+11,D, B001,Fieldwood Energy Offshore LLC,3/25/90,10794
1.77024E+11,D, A004,Fieldwood Energy Offshore LLC,4/13/90,11794
1.77064E+11,D, A012,Fieldwood Energy Offshore LLC,2/14/99,7108
1.77114E+11,D,10,Fieldwood Energy Offshore LLC,7/31/09,8360
1.77214E+11,D, C040,Fieldwood Energy Offshore LLC,10/29/99,15200
1.77234E+11,D, A016,Fieldwood Energy Offshore LLC,1/14/10,7536
1.7723E+11,D,5,Fieldwood Energy Offshore LLC,9/3/70,9218
1.77214E+11,E, B018,Fieldwood Energy Offshore LLC,12/27/94,11348
1.77214E+11,D, G009,Fieldwood Energy Offshore LLC,8/14/86,6180
1.77214E+11,D, E025,Fieldwood Energy Offshore LLC,8/24/84,11005
1.77214E+11,D, C040,Fieldwood Energy Offshore LLC,3/11/91,7615
1.77254E+11,D,3,Fieldwood Energy Offshore LLC,9/25/08,7500
6.08114E+11,D, A044,Fieldwood Energy Offshore LLC,12/11/13,13130
1.77044E+11,D, B006,Fieldwood Energy Offshore LLC,10/6/09,7939
1.77114E+11,D,7,Fieldwood Energy Offshore LLC,4/8/05,8605
1.77212E+11,E,13,Fieldwood Energy Offshore LLC,2/27/70,4886
4.27114E+11,D, A017,Fieldwood Energy Offshore LLC,7/12/17,12720
1.77124E+11,D, A003,Fieldwood Energy Offshore LLC,1/15/13,11417
1.77074E+11,E, B001,Fieldwood Energy Offshore LLC,3/21/98,11420
4.27114E+11,D, A015,Fieldwood Energy Offshore LLC,7/15/17,11759
1.77044E+11,E, A016,Fieldwood Energy Offshore LLC,10/2/99,18454
4.27114E+11,D, A006,Fieldwood Energy Offshore LLC,7/16/17,10339
1.77114E+11,D, C001,Fieldwood Energy Offshore LLC,1/6/07,13537
6.08114E+11,D, A033,Fieldwood Energy Offshore LLC,5/23/97,14047
6.08114E+11,D, A040,Fieldwood Energy Offshore LLC,6/9/99,15402
1.77124E+11,D, D004,Fieldwood Energy Offshore LLC,4/28/78,14234
1.77114E+11,D, H012,"Energy XXI GOM, LLC",4/18/14,16115
1.7719E+11,D, F011,"Energy XXI GOM, LLC",9/8/00,11083
1.77114E+11,D, H011,"Energy XXI GOM, LLC",3/11/00,14627
1.77104E+11,D, A016,"Energy XXI GOM, LLC",1/25/00,5035
6.08174E+11,D, A017,"Energy XXI GOM, LLC",3/12/08,15810
1.77174E+11,D, R024,"Energy XXI GOM, LLC",5/12/12,6893
1.77154E+11,E,125,"Energy XXI GOM, LLC",1/26/00,14005
1.77114E+11,D, I010,"Energy XXI GOM, LLC",1/1/00,12251
1.77054E+11,D, M004,"Energy XXI GOM, LLC",11/5/99,10697
1.77224E+11,D, C016,"Energy XXI GOM, LLC",8/18/99,13259
1.7719E+11,D, C001,"Energy XXI GOM, LLC",7/3/99,8852
1.7717E+11,D, R008,"Energy XXI GOM, LLC",5/5/78,8611
1.77224E+11,D, C015,"Energy XXI GOM, LLC",7/13/06,14790
1.77254E+11,D, B010,"Energy XXI GOM, LLC",8/4/13,9828
1.77224E+11,D, A018,"Energy XXI GOM, LLC",5/30/99,11290
1.77194E+11,D,15,"Energy XXI GOM, LLC",4/14/99,10521
1.77074E+11,D, C010,"Energy XXI GOM, LLC",8/19/96,14720
6.08174E+11,D, A006,"Energy XXI GOM, LLC",2/7/08,17494
1.77154E+11,D, F004,"Energy XXI GOM, LLC",2/28/04,14405
1.7709E+11,D, B006,"Energy XXI GOM, LLC",4/24/97,8679
1.7719E+11,D,1,"Energy XXI GOM, LLC",6/21/74,12001
1.7719E+11,D, N014,"Energy XXI GOM, LLC",5/9/76,6190
1.77004E+11,D, A005,"Energy XXI GOM, LLC",12/2/10,6755
1.7717E+11,D, W004,"Energy XXI GOM, LLC",9/9/89,10937
1.77152E+11,D, D011,"Energy XXI GOM, LLC",9/23/11,14390
1.77152E+11,D,10,"Energy XXI GOM, LLC",6/23/71,13435
1.77004E+11,D,7,"Energy XXI GOM, LLC",4/7/99,9168
1.77174E+11,D, W034,"Energy XXI GOM, LLC",12/12/98,12025
1.77154E+11,D,115,"Energy XXI GOM, LLC",7/1/98,11781
1.77224E+11,D, B028,"Energy XXI GOM, LLC",5/13/98,11045
1.77154E+11,D, E019,"Energy XXI GOM, LLC",5/17/80,14208
1.77094E+11,E,2,"Energy XXI GOM, LLC",8/24/71,14000
1.77154E+11,D, F006,"Energy XXI GOM, LLC",8/18/91,13320
1.77194E+11,D, G001,"Energy XXI GOM, LLC",2/16/87,14900
1.77194E+11,D, E022,"Energy XXI GOM, LLC",10/25/83,12523
1.77194E+11,D, E021,"Energy XXI GOM, LLC",8/20/83,10400
1.77194E+11,D, T029,"Energy XXI GOM, LLC",7/9/01,4007
1.77194E+11,D, T022,"Energy XXI GOM, LLC",4/18/78,5440
1.7719E+11,D, T007,"Energy XXI GOM, LLC",5/31/89,4333
1.7719E+11,D, P021,"Energy XXI GOM, LLC",10/4/88,5370
1.7719E+11,D, P010,"Energy XXI GOM, LLC",12/10/80,6120
1.7715E+11,D, B019,"Energy XXI GOM, LLC",2/10/69,11378
1.77154E+11,D, G002,"Energy XXI GOM, LLC",10/11/93,5549
1.7715E+11,D, F011,"Energy XXI GOM, LLC",6/15/14,10330
1.7715E+11,D,66,"Energy XXI GOM, LLC",10/1/06,14000
1.7711E+11,D, A005,"Energy XXI GOM, LLC",5/30/62,6685
1.7711E+11,E,2,"Energy XXI GOM, LLC",3/7/61,10308
1.77224E+11,D, A030,"Energy XXI GOM, LLC",6/12/90,10191
1.77224E+11,D, C019,"Energy XXI GOM, LLC",12/28/97,15832
1.77224E+11,D, C012,"Energy XXI GOM, LLC",10/22/09,17492
1.77224E+11,D, C010,"Energy XXI GOM, LLC",7/25/83,9622
1.77224E+11,D, C005,"Energy XXI GOM, LLC",6/13/93,6908
1.77224E+11,D, A007,"Energy XXI GOM, LLC",5/17/09,14790
1.77194E+11,D, T026,"Energy XXI GOM, LLC",8/10/00,8308
1.77214E+11,D, A004,"Energy XXI GOM, LLC",8/11/01,12112
1.77174E+11,D, Q036,"Energy XXI GOM, LLC",11/18/85,11914
1.77174E+11,D, K021,"Energy XXI GOM, LLC",3/9/88,8737
1.77154E+11,D, E012,"Arena Offshore, LP",11/3/12,11715
1.77094E+11,D,38,"Arena Offshore, LP",8/18/03,9886
1.77104E+11,D, A012,"Arena Offshore, LP",10/12/75,8019
4.27054E+11,E, E001,"Arena Offshore, LP",8/30/10,7493
1.77094E+11,D, K003,"Arena Offshore, LP",6/8/03,10550
1.7715E+11,D, A006,"Arena Offshore, LP",7/28/96,15680
1.7715E+11,D, B010,"Arena Offshore, LP",10/23/92,10000
1.77154E+11,D, C012,"Arena Offshore, LP",5/30/06,10000
1.77154E+11,D, C012,"Arena Offshore, LP",7/24/93,12704
1.77154E+11,D, C006,"Arena Offshore, LP",5/10/94,15222
1.7715E+11,E,5,"Arena Offshore, LP",1/3/64,5095
1.77154E+11,D, C005,"Arena Offshore, LP",10/28/06,13110
1.77154E+11,D, B006,"Arena Offshore, LP",7/8/15,12306
1.7715E+11,D, A001,"Arena Offshore, LP",9/18/86,14638
1.77154E+11,D, Q008,"Arena Offshore, LP",12/5/97,15931
1.7715E+11,D, Q004,"Arena Offshore, LP",10/15/10,14460
1.7715E+11,D, I003,"Arena Offshore, LP",5/16/66,12991
1.77152E+11,D, J003,"Arena Offshore, LP",3/22/00,7200
1.7715E+11,D, E014,"Arena Offshore, LP",3/29/97,10467
1.7715E+11,D, C019,"Arena Offshore, LP",12/6/96,9090
1.7715E+11,D, C018,"Arena Offshore, LP",11/17/76,8790
1.77154E+11,E,3,"Arena Offshore, LP",4/30/85,9461
1.77154E+11,D,21,"Arena Offshore, LP",1/20/15,12546
1.77154E+11,E,29,"Arena Offshore, LP",3/30/01,11877
1.77154E+11,E, A001,"Arena Offshore, LP",3/3/03,11750
1.77154E+11,D, C002,"Arena Offshore, LP",12/7/00,14300
1.77154E+11,D, E004,"Arena Offshore, LP",2/10/12,14840
1.77154E+11,D, D001,"Arena Offshore, LP",6/28/11,16954
1.77154E+11,D, B018,"Arena Offshore, LP",10/14/06,14822
1.77154E+11,D, B006,"Arena Offshore, LP",4/10/03,15377
1.77254E+11,D, A001,"Arena Offshore, LP",1/26/95,8900
1.77254E+11,E,CA005,"Arena Offshore, LP",2/19/11,10699
4.27034E+11,D, A004,"Arena Offshore, LP",8/27/16,13800
4.27034E+11,E, D001,"Arena Offshore, LP",7/31/06,13911
4.27034E+11,E,4,"Arena Offshore, LP",9/18/82,13415
4.27034E+11,D, A002,"Arena Offshore, LP",8/21/02,8180
1.77184E+11,E, A003,"Arena Offshore, LP",5/19/13,16891
1.77104E+11,D, A012,"Arena Offshore, LP",7/28/14,9965
1.77104E+11,D, A001,"Arena Offshore, LP",8/11/81,9710
1.77104E+11,D, B024,"Arena Offshore, LP",11/23/93,10432
1.77104E+11,D, B004,"Arena Offshore, LP",12/14/82,9785
1.77104E+11,D, B003,"Arena Offshore, LP",5/21/90,10460
1.77104E+11,D, B019,"Arena Offshore, LP",4/9/92,7055
1.77104E+11,D, B022,"Arena Offshore, LP",6/5/83,9505
1.77104E+11,D, B007,"Arena Offshore, LP",6/21/94,8817
1.77104E+11,D, A009,"Arena Offshore, LP",4/16/00,9672
1.77094E+11,E, B001,"Arena Offshore, LP",11/10/91,14597
1.77094E+11,D, I003,"Arena Offshore, LP",9/1/13,12967
1.77094E+11,D, G008,"Arena Offshore, LP",7/3/12,11735
1.7709E+11,D, C003,"Arena Offshore, LP",1/10/04,9805
1.77094E+11,D, H016,"Arena Offshore, LP",8/10/02,13700
1.77094E+11,D, H006,"Arena Offshore, LP",5/15/03,11925
1.77104E+11,D, A013,"Arena Offshore, LP",10/24/16,7715
1.77094E+11,D, F002,"Arena Offshore, LP",2/23/95,11120
1.77094E+11,D, J002,"Arena Offshore, LP",11/7/84,7203
1.77094E+11,D, J005,"Arena Offshore, LP",6/20/02,12176
1.77094E+11,D, C005,"Arena Offshore, LP",9/26/07,13665
1.77094E+11,E,9,"Arena Offshore, LP",3/3/85,12250
1.77084E+11,E,4,Fieldwood Energy Offshore LLC,5/9/74,7432
1.77104E+11,D, A006,Fieldwood Energy Offshore LLC,12/12/77,4787
1.77064E+11,E, A006,Fieldwood Energy Offshore LLC,11/4/06,9103
1.77194E+11,D, D032,Fieldwood Energy Offshore LLC,2/16/86,15770
1.77024E+11,D, B001,Fieldwood Energy Offshore LLC,2/17/90,11764
1.77214E+11,D, B017,Fieldwood Energy Offshore LLC,10/25/92,5670
6.08114E+11,D, A034,Fieldwood Energy Offshore LLC,7/10/95,16386
1.77154E+11,E, A001,Fieldwood Energy Offshore LLC,7/12/13,16313
1.77064E+11,E,5,Fieldwood Energy Offshore LLC,1/6/95,1005
1.77124E+11,D, F001,Fieldwood Energy Offshore LLC,10/30/94,12447
1.77214E+11,D, G013,Fieldwood Energy Offshore LLC,3/18/87,7970
1.77234E+11,D, A003,Fieldwood Energy Offshore LLC,9/2/83,16344
1.77214E+11,D,7,Fieldwood Energy Offshore LLC,4/24/72,7975
1.7709E+11,D, A002,Fieldwood Energy Offshore LLC,6/1/51,4277
1.77194E+11,D, A008,Fieldwood Energy Offshore LLC,10/6/09,9340
1.77192E+11,D, D021,Fieldwood Energy Offshore LLC,12/4/05,15282
1.77192E+11,D, D006,Fieldwood Energy Offshore LLC,5/4/90,16577
1.77192E+11,D, D034,Fieldwood Energy Offshore LLC,1/28/88,14691
1.77192E+11,D, D019,Fieldwood Energy Offshore LLC,8/29/08,14491
1.77194E+11,D, C022,Fieldwood Energy Offshore LLC,10/21/79,1700
1.77192E+11,D, C015,Fieldwood Energy Offshore LLC,12/29/70,13000
1.77192E+11,D, C002,Fieldwood Energy Offshore LLC,12/10/69,12475
1.77194E+11,D, B021,Fieldwood Energy Offshore LLC,3/10/07,12079
1.7719E+11,D, A011,Fieldwood Energy Offshore LLC,2/4/06,13750
1.7719E+11,D, A010,Fieldwood Energy Offshore LLC,6/18/72,19066
1.7719E+11,D, A004,Fieldwood Energy Offshore LLC,6/12/13,12596
1.77192E+11,E,4,Fieldwood Energy Offshore LLC,11/15/72,12450
